timestamp,kwh,building
2024-01-01 00:00:00,76.31,Hostel
2024-01-01 01:00:00,56.44,Hostel
2024-01-01 02:00:00,53.16,Hostel
2024-01-01 03:00:00,37.63,Hostel
2024-01-01 04:00:00,36.53,Hostel
2024-01-01 05:00:00,87.52,Hostel
2024-01-01 06:00:00,38.15,Hostel
2024-01-01 07:00:00,40.69,Hostel
2024-01-01 08:00:00,49.56,Hostel
2024-01-01 09:00:00,66.92,Hostel
2024-01-01 10:00:00,83.08,Hostel
2024-01-01 11:00:00,82.26,Hostel
2024-01-01 12:00:00,43.22,Hostel
2024-01-01 13:00:00,67.59,Hostel
2024-01-01 14:00:00,110.65,Hostel
2024-01-01 15:00:00,58.29,Hostel
2024-01-01 16:00:00,30.53,Hostel
2024-01-01 17:00:00,119.26,Hostel
2024-01-01 18:00:00,42.98,Hostel
2024-01-01 19:00:00,73.04,Hostel
2024-01-01 20:00:00,67.54,Hostel
2024-01-01 21:00:00,80.16,Hostel
2024-01-01 22:00:00,83.99,Hostel
2024-01-01 23:00:00,81.05,Hostel
2024-01-02 00:00:00,118.91,Hostel
2024-01-02 01:00:00,46.35,Hostel
2024-01-02 02:00:00,67.96,Hostel
2024-01-02 03:00:00,47.94,Hostel
2024-01-02 04:00:00,64.69,Hostel
2024-01-02 05:00:00,35.95,Hostel
2024-01-02 06:00:00,105.79,Hostel
2024-01-02 07:00:00,33.83,Hostel
2024-01-02 08:00:00,46.23,Hostel
2024-01-02 09:00:00,110.25,Hostel
2024-01-02 10:00:00,76.78,Hostel
2024-01-02 11:00:00,103.05,Hostel
2024-01-02 12:00:00,94.44,Hostel
2024-01-02 13:00:00,43.61,Hostel
2024-01-02 14:00:00,92.67,Hostel
2024-01-02 15:00:00,64.05,Hostel
2024-01-02 16:00:00,30.49,Hostel
2024-01-02 17:00:00,88.29,Hostel
2024-01-02 18:00:00,49.98,Hostel
2024-01-02 19:00:00,61.65,Hostel
2024-01-02 20:00:00,51.78,Hostel
2024-01-02 21:00:00,106.07,Hostel
2024-01-02 22:00:00,61.48,Hostel
2024-01-02 23:00:00,71.32,Hostel
2024-01-03 00:00:00,115.76,Hostel
2024-01-03 01:00:00,90.71,Hostel
2024-01-03 02:00:00,101.1,Hostel
2024-01-03 03:00:00,70.43,Hostel
2024-01-03 04:00:00,102.11,Hostel
2024-01-03 05:00:00,115.29,Hostel
2024-01-03 06:00:00,40.65,Hostel
2024-01-03 07:00:00,102.98,Hostel
2024-01-03 08:00:00,113.72,Hostel
2024-01-03 09:00:00,41.61,Hostel
2024-01-03 10:00:00,97.94,Hostel
2024-01-03 11:00:00,60.29,Hostel
2024-01-03 12:00:00,111.0,Hostel
2024-01-03 13:00:00,31.29,Hostel
2024-01-03 14:00:00,56.56,Hostel
2024-01-03 15:00:00,112.84,Hostel
2024-01-03 16:00:00,103.41,Hostel
2024-01-03 17:00:00,100.92,Hostel
2024-01-03 18:00:00,60.68,Hostel
2024-01-03 19:00:00,118.93,Hostel
2024-01-03 20:00:00,33.54,Hostel
2024-01-03 21:00:00,111.46,Hostel
2024-01-03 22:00:00,109.3,Hostel
2024-01-03 23:00:00,115.9,Hostel
2024-01-04 00:00:00,50.8,Hostel
2024-01-04 01:00:00,64.16,Hostel
2024-01-04 02:00:00,78.71,Hostel
2024-01-04 03:00:00,79.19,Hostel
2024-01-04 04:00:00,85.7,Hostel
2024-01-04 05:00:00,99.12,Hostel
2024-01-04 06:00:00,40.58,Hostel
2024-01-04 07:00:00,49.06,Hostel
2024-01-04 08:00:00,106.65,Hostel
2024-01-04 09:00:00,45.06,Hostel
2024-01-04 10:00:00,69.17,Hostel
2024-01-04 11:00:00,70.22,Hostel
2024-01-04 12:00:00,45.7,Hostel
2024-01-04 13:00:00,95.14,Hostel
2024-01-04 14:00:00,89.57,Hostel
2024-01-04 15:00:00,71.92,Hostel
2024-01-04 16:00:00,96.4,Hostel
2024-01-04 17:00:00,91.67,Hostel
2024-01-04 18:00:00,83.75,Hostel
2024-01-04 19:00:00,48.67,Hostel
2024-01-04 20:00:00,69.24,Hostel
2024-01-04 21:00:00,48.03,Hostel
2024-01-04 22:00:00,41.25,Hostel
2024-01-04 23:00:00,62.03,Hostel
2024-01-05 00:00:00,77.53,Hostel
2024-01-05 01:00:00,48.35,Hostel
2024-01-05 02:00:00,70.49,Hostel
2024-01-05 03:00:00,109.73,Hostel
2024-01-05 04:00:00,43.93,Hostel
2024-01-05 05:00:00,116.96,Hostel
2024-01-05 06:00:00,33.97,Hostel
2024-01-05 07:00:00,32.45,Hostel
2024-01-05 08:00:00,46.86,Hostel
