timestamp,kwh,building
2024-01-01 00:00:00,19.8,Library
2024-01-01 01:00:00,17.24,Library
2024-01-01 02:00:00,30.85,Library
2024-01-01 03:00:00,40.36,Library
2024-01-01 04:00:00,32.18,Library
2024-01-01 05:00:00,57.65,Library
2024-01-01 06:00:00,24.6,Library
2024-01-01 07:00:00,40.56,Library
2024-01-01 08:00:00,33.56,Library
2024-01-01 09:00:00,20.03,Library
2024-01-01 10:00:00,55.61,Library
2024-01-01 11:00:00,47.79,Library
2024-01-01 12:00:00,24.9,Library
2024-01-01 13:00:00,47.04,Library
2024-01-01 14:00:00,29.04,Library
2024-01-01 15:00:00,58.72,Library
2024-01-01 16:00:00,33.44,Library
2024-01-01 17:00:00,46.32,Library
2024-01-01 18:00:00,44.69,Library
2024-01-01 19:00:00,18.26,Library
2024-01-01 20:00:00,38.65,Library
2024-01-01 21:00:00,31.25,Library
2024-01-01 22:00:00,44.31,Library
2024-01-01 23:00:00,30.36,Library
2024-01-02 00:00:00,52.99,Library
2024-01-02 01:00:00,34.51,Library
2024-01-02 02:00:00,44.19,Library
2024-01-02 03:00:00,29.43,Library
2024-01-02 04:00:00,38.77,Library
2024-01-02 05:00:00,18.03,Library
2024-01-02 06:00:00,47.73,Library
2024-01-02 07:00:00,55.87,Library
2024-01-02 08:00:00,38.01,Library
2024-01-02 09:00:00,30.23,Library
2024-01-02 10:00:00,22.15,Library
2024-01-02 11:00:00,39.9,Library
2024-01-02 12:00:00,41.43,Library
2024-01-02 13:00:00,35.71,Library
2024-01-02 14:00:00,46.86,Library
2024-01-02 15:00:00,19.13,Library
2024-01-02 16:00:00,42.46,Library
2024-01-02 17:00:00,24.61,Library
2024-01-02 18:00:00,25.75,Library
2024-01-02 19:00:00,32.33,Library
2024-01-02 20:00:00,27.61,Library
2024-01-02 21:00:00,31.82,Library
2024-01-02 22:00:00,24.09,Library
2024-01-02 23:00:00,30.82,Library
2024-01-03 00:00:00,42.57,Library
2024-01-03 01:00:00,39.46,Library
2024-01-03 02:00:00,35.8,Library
2024-01-03 03:00:00,23.57,Library
2024-01-03 04:00:00,24.88,Library
