date,temperature,rainfall,humidity
2023-01-01,15.2,0.0,62
2023-01-02,14.8,0.0,65
2023-01-03,16.1,0.2,68
2023-01-04,15.7,0.0,59
2023-01-05,14.3,0.0,63
2023-01-06,13.9,0.0,60
2023-01-07,15.0,0.1,66
2023-01-08,16.5,0.0,64
2023-01-09,17.2,0.0,61
2023-01-10,16.8,0.0,67
2023-01-11,15.6,0.0,62
2023-01-12,14.9,0.0,60
2023-01-13,15.8,0.0,59
2023-01-14,16.2,0.0,63
2023-01-15,15.0,0.1,65
2023-01-16,14.5,0.0,61
2023-01-17,15.4,0.0,62
2023-01-18,16.6,0.0,64
2023-01-19,17.1,0.0,66
2023-01-20,16.9,0.0,68
2023-01-21,15.7,0.0,63
2023-01-22,14.8,0.0,60
2023-01-23,15.9,0.0,58
2023-01-24,16.3,0.0,59
2023-01-25,17.0,0.0,61
2023-01-26,16.5,0.0,60
2023-01-27,15.1,0.0,62
2023-01-28,14.7,0.0,64
2023-01-29,14.9,0.0,63
2023-01-30,15.2,0.0,61
2023-01-31,16.0,0.0,62
2023-02-01,17.5,0.0,58
2023-02-02,18.1,0.0,60
2023-02-03,19.0,0.0,57
2023-02-04,18.7,0.0,59
2023-02-05,17.8,0.0,61
2023-02-06,18.2,0.0,63
2023-02-07,17.9,0.0,64
2023-02-08,18.5,0.0,62
2023-02-09,19.3,0.0,60
2023-02-10,20.0,0.0,58
2023-02-11,19.7,0.0,59
2023-02-12,18.9,0.0,61
2023-02-13,18.4,0.0,63
2023-02-14,19.1,0.0,62
2023-02-15,17.6,0.0,60
2023-02-16,18.0,0.0,61
2023-02-17,19.4,0.0,64
2023-02-18,20.1,0.0,65
2023-02-19,21.0,0.0,63
2023-02-20,20.8,0.0,62
2023-02-21,19.9,0.0,60
2023-02-22,18.7,0.0,61
2023-02-23,19.6,0.0,59
2023-02-24,20.4,0.0,60
2023-02-25,19.2,0.0,62
2023-02-26,18.5,0.0,63
2023-02-27,17.8,0.0,65
2023-02-28,18.9,0.0,66
2023-03-01,20.2,0.0,55
2023-03-02,21.4,0.0,54
2023-03-03,22.0,0.0,52
2023-03-04,23.5,0.0,51
2023-03-05,24.3,0.0,50
2023-03-06,25.1,0.0,48
2023-03-07,26.5,0.0,47
2023-03-08,27.3,0.0,46
2023-03-09,28.0,0.0,45
2023-03-10,29.1,0.0,44
2023-03-11,30.2,0.0,43
2023-03-12,31.0,0.0,41
2023-03-13,30.8,0.0,42
2023-03-14,29.4,0.0,44
2023-03-15,28.3,0.0,45
2023-03-16,27.9,0.0,46
2023-03-17,26.8,0.0,48
2023-03-18,25.5,0.0,49
2023-03-19,24.1,0.0,51
2023-03-20,23.0,0.0,53
2023-03-21,22.3,0.0,54
2023-03-22,21.5,0.0,56
2023-03-23,20.9,0.0,57
